coef,spp_grp,grade,value
a,hvh,0,3.74632329082583
b,hvh,0,1.78843352831622
c,hvh,0,14.4949707566239
d,hvh,0,0.563084427606698
a,hvh,1,3.74632329082583
b,hvh,1,1.78843352831622
c,hvh,1,14.4949707566239
d,hvh,1,0.563084427606698
a,hvh,2,1.48540395279086
b,hvh,2,1.0319336876241
c,hvh,2,12.3108312429877
d,hvh,2,0.563084427606698
a,hvh,3,0.202909339422881
b,hvh,3,0.143624694923638
c,hvh,3,6.26103487711609
d,hvh,3,0.500523349447836
a,mvh,1,3.74632329082583
b,mvh,1,1.78843352831622
c,mvh,1,14.4949707566239
d,mvh,1,0.563084427606698
a,mvh,2,0.883682848852232
b,mvh,2,0.62944292332665
c,mvh,2,12.3794879202658
d,mvh,2,0.759313480092444
a,mvh,3,0.040689931621087
b,mvh,3,0.064001601138056
c,mvh,3,4.58348664626531
d,mvh,3,0.759313480092444
a,lvh,1,0.36583856545497
b,lvh,1,0.293024506298934
c,lvh,1,12.9454864108836
d,lvh,1,0.936381183110147
a,lvh,2,0.36583856545497
b,lvh,2,0.293024506298934
c,lvh,2,12.9454864108836
d,lvh,2,0.936381183110147
a,lvh,3,0.058535544622887
b,lvh,3,0.011903077203849
c,lvh,3,13.1450068471219
d,lvh,3,0.936381183110147
a,pine_hem,1,1.14103098622975
b,pine_hem,1,1.57057082711359
c,pine_hem,1,7.6441235259607
d,pine_hem,1,0.192482135595268
a,pine_hem,2,1.14103098622975
b,pine_hem,2,1.57057082711359
c,pine_hem,2,7.6441235259607
d,pine_hem,2,0.192482135595268
a,pine_hem,3,0.699999890682652
b,pine_hem,3,6.53263677938196
c,pine_hem,3,8.03082148272983
d,pine_hem,3,0.199996519287711
a,sw,1,0.812784814261435
b,sw,1,3.7976545738874
c,sw,1,4.88526803434298
d,sw,1,0.187214900059715
a,sw,2,0.812784814261435
b,sw,2,3.7976545738874
c,sw,2,4.88526803434298
d,sw,2,0.187214900059715
a,sw,3,0.499997752755182
b,sw,3,6.51400368235658
c,sw,3,7.96887590901508
d,sw,3,0.199998710455219
