spp,theta1,theta2,alpha1,alpha2,gamma1,gamma2,psi,lambda,beta1,beta2
ASH,3.3085,0.0276,1.2634,0.9088,0.1098,0.5198,0.184,1.7842,0.6719,5.1178
ASPEN,3.3085,0.0276,1.2634,0.9088,0.1098,0.5198,0.184,1.7842,0.6719,5.1178
FIR,5.3693,0.0171,1.4212,0.3003,0.089,0.6485,0.1916,1.8873,0.4764,2.6383
BASSWOOD,5.3708,0.0072,0.8737,0.9876,0.1123,0.3053,0.1303,0.8358,0.6718,3.4707
BEECH,8.9843,0.0107,0.7621,1.3734,0.0956,0.165,0.1924,1.2237,0.4626,1.0954
BLACK CHERRY,3.2042,0.0479,1.2507,0.8075,0.08,0.417,0.2227,2.7226,0.7065,4.6476
CEDAR,5.4,0.0256,1.9295,0.8142,0.0943,0.9642,0.2761,1.8605,1.3432,1.3438
ELM,9.0505,0.0241,1.298,0.7684,0.0684,0.4555,0.1769,1.6684,0.5408,4.1821
HARD MAPLE,6.579,0.0111,1.0682,1.1833,0.1031,0.2624,0.1516,1.1482,0.6637,3.0996
HEMLOCK,7.2442,0.0152,1.4008,0.8306,0.0856,0.4724,0.2011,1.5716,0.6994,1.9524
HICKORY,9.4326,0.0085,0.9135,0.8853,0.1284,0.3969,0.1887,0.8447,0.5547,4.0183
HOPHORNBEAM,9.0505,0.0241,1.298,0.7684,0.0684,0.4555,0.1769,1.6684,0.5408,4.1821
PAPER BIRCH,7.5437,0.0103,0.9961,1.1042,0.1313,0.3539,0.2091,0.9478,0.5995,3.4205
RED OAK,12.8336,0.0125,0.9038,1.095,0.0935,0.3971,0.2038,1.0457,0.5508,3.4681
RED PINE,7.6044,0.0148,1.2379,0.3304,0.0759,0.6611,0.3008,1.1569,0.5462,3.0627
SCOTS PINE,5.2913,0.0411,1.1291,0.6831,0.0745,0.5798,0.1896,1.5776,0.6616,6.0645
SOFT MAPLE,7.5707,0.0105,1.5273,0.7684,0.0931,0.4223,0.1441,1.391,0.6453,4.0737
SPRUCE,6.8745,0.011,1.1241,0.4107,0.1376,0.4842,0.2038,1.2598,0.4986,2.7865
STRIPED MAPLE,9.0505,0.0241,1.298,0.7684,0.0684,0.4555,0.1769,1.6684,0.5408,4.1821
TAMARACK,5.2913,0.0411,1.1291,0.6831,0.0745,0.5798,0.1896,1.5776,0.6616,6.0645
WHITE OAK,9.0505,0.0241,1.298,0.7684,0.0684,0.4555,0.1769,1.6684,0.5408,4.1821
WHITE PINE,7.1438,0.0123,0.8978,0.7872,0.0989,0.4985,0.2049,0.9247,0.5715,2.0482
YELLOW BIRCH,7.5437,0.0103,0.9961,1.1042,0.1313,0.3539,0.2091,0.9478,0.5995,3.4205
OTHER HARDWOOD,9.0505,0.0241,1.298,0.7684,0.0684,0.4555,0.1769,1.6684,0.5408,4.1821
OTHER SOFTWOOD,5.2913,0.0411,1.1291,0.6831,0.0745,0.5798,0.1896,1.5776,0.6616,6.0645
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,4,,,,,,,,,
,4,,,,,,,,,
,4,,,,,,,,,
,4,,,,,,,,,
,4,,,,,,,,,
,4,,,,,,,,,
,4,,,,,,,,,
,4,,,,,,,,,
,4,,,,,,,,,
,4,,,,,,,,,
,4,,,,,,,,,
,4,,,,,,,,,
,4,,,,,,,,,
,4,,,,,,,,,
,4,,,,,,,,,
,4,,,,,,,,,
,4,,,,,,,,,
,4,,,,,,,,,
,4,,,,,,,,,
,4,,,,,,,,,
,4,,,,,,,,,
,4,,,,,,,,,
,4,,,,,,,,,
,4,,,,,,,,,
,4,,,,,,,,,
